date,open,high,low,close,volume
2022-04-04 18:00:00+00:00,45367.0,45529.0,45111.0,45519.0,122.22880216
2022-04-04 19:00:00+00:00,45520.46884014,45950.0,45520.46884014,45950.0,117.90065033
2022-04-04 20:00:00+00:00,45950.0,46380.64409941,45708.0,46309.24034104,265.01358058
2022-04-04 21:00:00+00:00,46310.0,46637.0,46191.0,46480.0,460.9245599
2022-04-04 22:00:00+00:00,46487.0,46857.0,46403.0,46712.0,421.861877
2022-04-04 23:00:00+00:00,46712.0,46900.0,46569.21573642,46611.0,241.17704312
2022-04-05 00:00:00+00:00,46594.0,46650.0,46441.0,46526.35386023,71.18489215
2022-04-05 01:00:00+00:00,46526.35386023,46696.0,46465.79961297,46643.0,31.01295372
2022-04-05 02:00:00+00:00,46643.0,46743.0,46576.0,46641.0,30.37816437
2022-04-05 03:00:00+00:00,46640.0,46785.0,46591.65577923,46656.0,55.92791408
2022-04-05 04:00:00+00:00,46658.0,46887.0,46634.0,46795.3532485,80.48527995
2022-04-05 05:00:00+00:00,46801.0,46849.0,46710.0,46725.0,27.1800823
2022-04-05 06:00:00+00:00,46725.0,46771.0,46583.02599227,46614.0,64.23567947
2022-04-05 07:00:00+00:00,46625.65102451,46739.0,46586.37704584,46716.0,72.65387035
2022-04-05 08:00:00+00:00,46716.31448479,46730.0,46590.0,46669.0,67.16312008
2022-04-05 09:00:00+00:00,46674.0,46708.0,46558.0,46568.14449918,44.75044056
2022-04-05 10:00:00+00:00,46566.0,46676.0,46523.19616581,46651.0,70.37308104
2022-04-05 11:00:00+00:00,46652.0,46739.0,46574.0,46684.0,54.66921639
2022-04-05 12:00:00+00:00,46683.51543526,47173.0,46683.51543526,46756.0,353.00226016
2022-04-05 13:00:00+00:00,46756.0,46850.77784965,46321.0,46403.0,186.9550552
2022-04-05 14:00:00+00:00,46411.0,46452.0,45756.0,45811.0,397.61640655
2022-04-05 15:00:00+00:00,45810.0,45920.0,45704.0,45783.0,95.82053639
2022-04-05 16:00:00+00:00,45771.0,46024.0,45590.00314477,45922.0,115.86959933
2022-04-05 17:00:00+00:00,45921.7826785,46194.0,45898.0,45970.0,108.25467365
2022-04-05 18:00:00+00:00,45970.0,45992.0,45886.0,45901.0,45.38521479
2022-04-05 19:00:00+00:00,45901.0,46066.0,45477.0,46033.0,176.2826384
2022-04-05 20:00:00+00:00,46034.0,46098.0,45651.0,45866.58301146,133.38376452
2022-04-05 21:00:00+00:00,45878.0,45950.0,45756.55254249,45950.0,87.21164187
2022-04-05 22:00:00+00:00,45951.0,46033.0,45794.0,45836.0,59.38207568
2022-04-05 23:00:00+00:00,45845.70315054,45879.0,45359.0,45481.0,156.76861568
2022-04-06 00:00:00+00:00,45490.44735913,45498.0,44404.0,45021.0,475.85798106
2022-04-06 01:00:00+00:00,45020.0,45348.0,44963.0,45185.78228995,74.24710823
2022-04-06 02:00:00+00:00,45181.0,45361.0,45153.0,45224.0,53.89936668
2022-04-06 03:00:00+00:00,45223.0,45280.59278631,45139.96429489,45217.0,40.9848198
2022-04-06 04:00:00+00:00,45210.0,45387.0,45133.0,45331.0,58.87872919
2022-04-06 05:00:00+00:00,45331.0,45431.0682997,45301.0,45380.0,29.92361509
