date,open,high,low,close,volume
2022-04-04 18:00:00+00:00,45371.0,45535.0,34000.0,45519.0,2.0951660100000002
2022-04-04 19:00:00+00:00,45672.0,45923.0,45672.0,45923.0,0.12054858
2022-04-04 20:00:00+00:00,45876.0,46294.0,34000.0,46293.0,0.09344521
2022-04-04 21:00:00+00:00,46337.0,46545.0,45890.0,46501.0,2.1999301
2022-04-04 22:00:00+00:00,46467.0,46753.0,45848.0,46753.0,0.11890856
2022-04-04 23:00:00+00:00,46685.0,46743.0,46177.0,46594.0,0.00057422
2022-04-05 00:00:00+00:00,46547.0,46625.0,45982.0,45982.0,0.00048982
2022-04-05 01:00:00+00:00,46530.0,46656.0,46131.0,46131.0,0.0004905
2022-04-05 02:00:00+00:00,46670.0,46717.0,46089.0,46089.0,0.00045431
2022-04-05 03:00:00+00:00,46701.0,46701.0,46142.0,46615.0,0.00054509
2022-04-05 04:00:00+00:00,46664.0,46835.0,46174.0,46835.0,0.00086269
2022-04-05 05:00:00+00:00,46319.0,46805.0,46319.0,46753.0,0.00043004
2022-04-05 06:00:00+00:00,46239.0,46720.0,42000.0,46650.0,0.17230463999999998
2022-04-05 07:00:00+00:00,46612.0,46728.0,46103.0,46728.0,0.02236324
2022-04-05 08:00:00+00:00,46678.0,46678.0,46054.0,46653.0,0.92626392
2022-04-05 09:00:00+00:00,46700.0,46700.0,46587.0,46587.0,0.0001849
2022-04-05 10:00:00+00:00,46542.0,46674.0,46024.0,46103.0,0.11310234999999999
2022-04-05 11:00:00+00:00,46099.0,46678.0,46032.0,46629.0,0.9568807
2022-04-05 12:00:00+00:00,46705.0,47000.0,46199.0,46877.0,0.00075011
2022-04-05 13:00:00+00:00,46807.0,46807.0,46005.0,46385.0,2.01295704
2022-04-05 14:00:00+00:00,46441.0,46441.0,34000.0,34000.0,0.11255342
2022-04-05 15:00:00+00:00,45854.0,45854.0,34000.0,45780.0,0.015641830000000002
2022-04-05 16:00:00+00:00,45704.0,45946.0,34000.0,45795.0,0.08854657
2022-04-05 17:00:00+00:00,45961.0,46138.0,45922.0,45922.0,0.00042443
2022-04-05 18:00:00+00:00,45975.0,45986.0,45931.0,45943.0,0.00042948
2022-04-05 19:00:00+00:00,45890.0,46002.0,45660.0,46002.0,0.00044294
2022-04-05 20:00:00+00:00,45959.0,46037.0,45720.0,45784.0,0.00044821
2022-04-05 21:00:00+00:00,45826.0,45936.0,45336.0,45936.0,0.00085987
2022-04-05 22:00:00+00:00,45894.0,45937.0,45342.0,45342.0,0.00035754
2022-04-05 23:00:00+00:00,45822.0,45876.0,45321.0,45497.0,0.00063467
2022-04-06 00:00:00+00:00,45415.0,45415.0,44381.0,45053.0,0.018391530000000003
2022-04-06 01:00:00+00:00,45108.0,45303.0,44803.0,45167.0,0.0005318
2022-04-06 02:00:00+00:00,45212.0,45315.0,45212.0,45271.0,0.10442226
2022-04-06 03:00:00+00:00,45227.0,45263.0,44702.0,44734.0,0.00078858
2022-04-06 04:00:00+00:00,45257.0,45345.0,44715.0,45345.0,0.00069325
2022-04-06 05:00:00+00:00,45391.0,45391.0,44851.0,44887.0,0.00048912
2022-04-06 06:00:00+00:00,45351.0,45455.0,45296.0,45455.0,0.00042513
2022-04-06 07:00:00+00:00,45492.0,45492.0,45311.0,45311.0,0.02223141
2022-04-06 08:00:00+00:00,45267.0,45394.0,44752.0,45394.0,0.00083463
2022-04-06 09:00:00+00:00,44854.0,45336.0,44716.0,44745.0,0.32545117
2022-04-06 10:00:00+00:00,45266.0,45266.0,44596.0,44596.0,0.1456529
2022-04-06 11:00:00+00:00,44938.0,44947.0,44393.0,44393.0,2.22443015
2022-04-06 12:00:00+00:00,44773.0,44951.0,44321.0,44807.0,0.00075135
2022-04-06 13:00:00+00:00,44766.0,44943.0,43827.0,43827.0,0.32116737
2022-04-06 14:00:00+00:00,44063.0,44314.0,43829.0,44271.0,0.06648826
2022-04-06 15:00:00+00:00,44137.0,44234.0,34000.0,44156.0,1.34443945
2022-04-06 16:00:00+00:00,44133.0,44133.0,34000.0,34000.0,0.66468558
2022-04-06 17:00:00+00:00,43555.0,43930.0,34000.0,43930.0,0.00089146
2022-04-06 18:00:00+00:00,43877.0,43954.0,34000.0,43772.0,0.03853501
